software_name,seats_available,location
Visual Studio Code,30,"Кронштадтский бульвар, 20 | ауд. 201В"
Python 3,30,"Кронштадтский бульвар, 20 | ауд. 201В"
Wireshark,10,"Пулковская улица, 10 | ауд. 5-402"
Postgres,27,"Кронштадтский бульвар, 20 | ауд. 201В"
Docker Desktop,27,"Кронштадтский бульвар, 20 | ауд. 201В"
