number;brand;name;price;link
1;Apple;Смартфон iPhone 14 Pro 256 ГБ Фиолетовый восстановленный;36300;https://www.wildberries.ru/catalog/791064631/detail.aspx
2;Apple;Смартфон iPhone 14 Pro 256 ГБ Фиолетовый восстановленный;36300;https://www.wildberries.ru/catalog/791065688/detail.aspx
3;Apple;Смартфон iPhone 14 Pro 256 ГБ Фиолетовый восстановленный;36300;https://www.wildberries.ru/catalog/791066408/detail.aspx
